year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,deforestation_hectares
2005,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,1464.238235
2005,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,40026.85165
2005,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,64.62
2005,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,61.04011765
2005,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,192.5085882
2005,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,38463.81635
2005,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,5831.353059
2005,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,63252.87812
2005,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,16445.29129
2005,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,19244.22459
2005,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,2697.914824
2005,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,2552.708471
2005,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,427.9425882
2005,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,1535.663294
2005,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2780.540118
2005,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,367.38
2005,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,333.5354118
2005,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,12569.50412
2005,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,7323.611294
2005,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,214225.0341
2005,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,2084.713059
