year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,natural_forest_area_hectares
2003,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3084751.154
2003,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2260540.655
2003,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,452672.8401
2003,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,172184.2122
2003,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,25278177.42
2003,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9719284.321
2003,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,3389182.086
2003,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,363780.4676
2003,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1190975.652
2003,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5491170.373
2003,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,1664819.267
2003,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,696259.9094
2003,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,2660853.677
2003,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,871581.5891
2003,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,2092517.777
2004,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3610221.291
2004,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,63721.19082
2004,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,65921.53094
2004,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,260046.1267
2004,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,10.8
2004,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,48.39564706
2004,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,343984.9147
2004,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,2097248.909
2004,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,293651.5366
2004,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,88139.04953
2004,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,265240.3786
2004,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,9699888.742
2004,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,1034078.608
2004,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,8088976.089
2004,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,6594624.975
2004,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,3972897.388
2004,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,265620.4588
2004,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,228264.8245
2004,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,264278.1099
2004,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,3082568.767
2004,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,2255547.692
2004,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,452183.2401
2004,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,172006.6458
2004,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,25264128.16
2004,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,9705198.219
2004,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,3196499.145
2004,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,360964.5554
2004,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1185219.117
2004,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5469679.789
