year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,gross_greenhouse_gas_emissions_from_deforestation_tonnes_co₂-
2005,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,83137.36788
2005,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,15411776.33
2005,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,2184674.487
2005,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,26254233.59
2005,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,7005814.457
2005,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,9022937.519
2005,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,1002032.274
2005,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,1013178.99
2005,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,184862.6483
2005,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,745121.3419
2005,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,1415846.026
2005,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,155361.7527
2005,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,135100.355
2005,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,5623150.941
2005,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,3758401.855
2005,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,81068118.61
2005,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,994917.7871
2005,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,1725644.592
2005,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,5210254.618
2005,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,3470878.629
2005,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,850988.3334
2005,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,7272291.829
2005,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,1131587.852
2005,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,15355009.69
2006,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,4033822.312
2006,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,15356.47957
2006,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,442.2937319
2006,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,921328.9049
2006,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2006,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2006,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,767942.562
2006,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,18261397.98
2006,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,62135.00389
2006,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,44423.2295
2006,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,239711.3117
2006,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,23552780.58
2006,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,5024630.315
2006,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,31143992.99
2006,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,12584679.97
2006,INDONESIA,ID,KALIMANTAN UTARA,ID-65,KALIMANTAN,ID-KA,8033946.346
2006,INDONESIA,ID,KEP. BANGKA BELITUNG,ID-19,SUMATERA,ID-SM,1633159.69
2006,INDONESIA,ID,KEP. RIAU,ID-21,SUMATERA,ID-SM,672884.2507
2006,INDONESIA,ID,LAMPUNG,ID-18,SUMATERA,ID-SM,300976.8001
2006,INDONESIA,ID,MALUKU,ID-81,MALUKU,ID-ML,2371184.939
2006,INDONESIA,ID,MALUKU UTARA,ID-82,MALUKU,ID-ML,3645826.628
2006,INDONESIA,ID,NUSA TENGGARA BARAT,ID-52,NUSA TENGGARA,ID-NU,131036.6119
2006,INDONESIA,ID,NUSA TENGGARA TIMUR,ID-53,NUSA TENGGARA,ID-NU,163346.6738
2006,INDONESIA,ID,PAPUA,ID-94,PAPUA,ID-PP,7446588.326
2006,INDONESIA,ID,PAPUA BARAT,ID-91,PAPUA,ID-PP,5192910.513
2006,INDONESIA,ID,RIAU,ID-14,SUMATERA,ID-SM,50766070.01
2006,INDONESIA,ID,SULAWESI BARAT,ID-76,SULAWESI,ID-SL,1206916.435
2006,INDONESIA,ID,SULAWESI SELATAN,ID-73,SULAWESI,ID-SL,2167983.297
2006,INDONESIA,ID,SULAWESI TENGAH,ID-72,SULAWESI,ID-SL,7968013.983
2006,INDONESIA,ID,SULAWESI TENGGARA,ID-74,SULAWESI,ID-SL,7846167.006
2006,INDONESIA,ID,SULAWESI UTARA,ID-71,SULAWESI,ID-SL,1004846.496
2006,INDONESIA,ID,SUMATERA BARAT,ID-13,SUMATERA,ID-SM,10300051.69
2006,INDONESIA,ID,SUMATERA SELATAN,ID-16,SUMATERA,ID-SM,2372161.035
2006,INDONESIA,ID,SUMATERA UTARA,ID-12,SUMATERA,ID-SM,10252565.1
2007,INDONESIA,ID,ACEH,ID-11,SUMATERA,ID-SM,3311703.584
2007,INDONESIA,ID,BALI,ID-51,NUSA TENGGARA,ID-NU,6883.827395
2007,INDONESIA,ID,BANTEN,ID-36,JAWA,ID-JW,3195.326306
2007,INDONESIA,ID,BENGKULU,ID-17,SUMATERA,ID-SM,1084393.257
2007,INDONESIA,ID,D I YOGYAKARTA,ID-34,JAWA,ID-JW,0
2007,INDONESIA,ID,DKI JAKARTA,ID-31,JAWA,ID-JW,0
2007,INDONESIA,ID,GORONTALO,ID-75,SULAWESI,ID-SL,611835.2311
2007,INDONESIA,ID,JAMBI,ID-15,SUMATERA,ID-SM,22996254.19
2007,INDONESIA,ID,JAWA BARAT,ID-32,JAWA,ID-JW,98244.93917
2007,INDONESIA,ID,JAWA TENGAH,ID-33,JAWA,ID-JW,52571.28388
2007,INDONESIA,ID,JAWA TIMUR,ID-35,JAWA,ID-JW,214791.5359
2007,INDONESIA,ID,KALIMANTAN BARAT,ID-61,KALIMANTAN,ID-KA,21585028.99
2007,INDONESIA,ID,KALIMANTAN SELATAN,ID-63,KALIMANTAN,ID-KA,3417753.821
2007,INDONESIA,ID,KALIMANTAN TENGAH,ID-62,KALIMANTAN,ID-KA,64860818.24
2007,INDONESIA,ID,KALIMANTAN TIMUR,ID-64,KALIMANTAN,ID-KA,9133538.806
